ticket_id_hashed,Privacy_Detect_Col,components,keyword,사업부,지역,language,대분류,중분류,소분류,beforechange,afterchange,labels,environment,created_date_yyyymm,thinQmodel,salesmodel,generated_summary,generated_translation,merge_key,generated_response
569aa41,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,버튼설정,리빙,US,,,,,Have control panel light up when dryer is touched anywhere.  Cannot see anything with lights off in laundry room.  We can only see buttons due to finger prints otherwise panel is not user friendly ,건조기를 아무 곳에나 만졌을 때 제어판이 켜지도록 하십시오.  세탁실에서 불을 끄면 아무것도 볼 수 없습니다.  지문으로 인해 버튼만 볼 수 있으며 그렇지 않으면 패널이 사용자 친화적이지 않습니다.,"['24_W39', 'Dryer', 'ListD', '디스플레이화면', '버튼조명', '제안', '조명OnOff', '중복']","화면 터치 시, 조명 설정",202409,"['BDV_TX_BT_LED_6203', 'TLXU7BBP']","['DLE8400BE.AEBEEUS', 'WT8400CB.AEBETUS']",The user suggests having the control panel light up when the dryer is touched anywhere to improve visibility in a dark laundry room.,,,
d71a6d7,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,애플홈킷연동,리빙,US,['en'],,,,Please allow full integration with Apple home kit. ,Apple 홈 키트와의 완전한 통합을 허용하십시오.,"['24_W46', 'Dryer', 'IDR', 'ListC', '애플홈킷', '애플홈킷연동', '제안', '중복']",홈킷 연동,202411,"['BDH_D30007_US', 'FAFXU22027']","['DLHC5502V.ASSEEUS', 'WM5500HVA.ASSEVUS']",The user suggests allowing full integration with Apple HomeKit.,,,
04d7c25,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,3rd_Party_연동,리빙,US,,,,,Local control over the local area network and integration with hubs like home assistant ,근거리 통신망을 통한 로컬 제어 및 홈 어시스턴트와 같은 허브와의 통합,"['24_W41', '3rd_party_연동', 'Dryer', 'IDR', 'ListC', '연동', '제안']",홈기능 확장 요청,202410,"['BDV_TX_BT_LED_6203', 'TLXU7BBP']","['DLG8401WE.AEWEEUS', 'WT8405CW.AEWEUUS']",The user suggests improving local control over the local area network and integration with hubs like home assistant for better compatibility and user experience.,,,
b6452d1,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,원격기능유지,리빙,US,,,,,What good is remote start if you cannot use it to remotely start the appliance without first pushing the start button on the appliance?!?,기기의 시작 버튼을 먼저 누르지 않고는 원격 시동을 사용하여 기기를 원격으로 시작할 수 없다면 원격 시동이 무슨 소용이 있습니까?!?,"['24_W20', 'Dryer', 'ListB', '원격제어유지', '제안', '중복']","현재의 원격제어 불만

(스타트를 누르지 않더라도 원격제어할 수 있도록)",202405,['BDVG_FX0003_US'],['DLEX5500V.ASSEEUS'],The user suggests enabling remote start without needing to push the start button on the appliance first.,,,
d25d98b,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,타임싱크,리빙,US,,,,,"The update to display the time is great; however, the displayed time is incorrect and off by an hour without a way to correct it.",시간을 표시하는 업데이트는 훌륭합니다. 그러나 표시된 시간이 정확하지 않고 수정할 방법이 없이 한 시간 차이가 납니다.,"['24_W31', 'Dryer', 'ListB', '북미Only', '시간동기화', '시간설정', '시간표시', '제안']","현재시간표시는 좋으나

1시간 차이가 남",202408,"['BDVG_FX0003_US', 'FAFXU22007']","['DLEX6700B.ABLEEUS', 'WM6700HBA.ABLEVUS']","The user suggests providing a way to correct the displayed time, which is currently incorrect and off by an hour.",,,
bcc7c38,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,타임싱크,리빙,US,,,,,"Just updated the dryer, it now shows a clock.
But I think you forgot to implement daylight saving time it's showing a 1 hour difference and there is no way to correct this in the settings.","건조기를 업데이트했는데 이제 시계가 표시됩니다.
하지만 일광 절약 시간을 구현하는 것을 잊었다고 생각합니다 : 1 시간의 차이를 보여주고 설정에서이를 수정할 방법이 없습니다.","['24_W31', 'Dryer', 'ListB', '북미Only', '시간동기화', '시간설정', '제안', '중복']","현재시간표시기능의

섬머타임표시 니즈",202408,"['BDV_TX_7009', 'TLXU7LBQ']","['DLEX8600BE.AEBEEUS', 'WT8600CB.AEBETUS']",The user suggests implementing daylight saving time adjustment in the dryer settings to correct the 1-hour time difference shown on the clock.,,,
37fbe2e,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,타임싱크,리빙,US,,,,,Be able to adjust clock for daylight savings time ,일광 절약 시간제에 맞게 시계를 조정할 수 있습니다.,"['24_W10', 'Dryer', 'ICC', 'ListB', '북미Only', '시간동기화', '시간설정']",현재시간표시 써머타임 반영,202403,,,The user suggests implementing an automatic daylight savings time adjustment feature for the clock.,,,
4e3ca41,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,타임싱크,리빙,US,,제품,설정 제어,설정/변경,"The display time is an hour off, I’m on Central time and it’s displaying Eastern time with no way to adjust for that.",표시 시간은 한 시간 떨어져 있고 저는 중부 시간을 사용하고 있으며 조정할 방법이 없는 동부 시간을 표시합니다.,"['23_W50', 'Dryer', 'ListB', '시간동기화', '시간설정', '제안']",현재시간 표시가 틀림,202312,,,The user suggests adding an option to adjust the display time for different time zones.,,,
03ce44b,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,내부조명시간설정/변경,리빙,US,,제품,설정 제어,설정/변경,Have the option to leave the light on during the cycle ,주기 동안 조명을 켜 둘 수 있는 옵션이 있습니다.,"['23_W41', 'Dryer', 'ListB', '내부조명', '제안', '조명설정', '중복']",행정 중 조명 설정 Option,202310,,,The user suggests having the option to leave the light on during the cycle.,,,
5d4afd6,본 데이터는 HADATAPLFM-10114에서 제공한 개인정보로 2025-07-31까지 파기하여야 합니다.본 컬럼 삭제는 금지합니다.,Dryer,LCD배경테마바꾸기,리빙,US,,,,,Have a jack o lantern pumpkin for splash screen ,스플래시 화면용 잭 오 랜턴 호박이 있습니다.,"['24_W33', 'Dryer', 'LCD배경테마', 'ListB', '제안', '중복']",핼러윈 테마,202408,"['BDV_TX_7009', 'TLXU7LBQ']","['DLGX8601BE.AEBEEUS', 'WT8600CB.AEBETUS']",The user suggests having a jack o' lantern pumpkin for the splash screen.,,,
