No,Keyword
1,0.5도단위온도조절설정/변경
2,12H/24H
3,2종세제사용
4,3rdParty연동(SmartThings)
5,3rdParty연동(구글홈)
6,3rdParty연동(기타)
7,3rdParty연동(애플워치)
8,3rdParty연동(애플홈킷)
9,3rdParty연동(클로바)
10,3rd_Party_연동
11,3초롱키
12,Alexa연동
13,ButtonSoundSetting
14,CycleOptimization
15,Google연동
16,HW개선(BT/스피커)
17,HW개선(기능개선)
18,HW개선(도어교체)
19,HW개선(도어오픈방식)
20,HW개선(도어오픈방향)
21,HW개선(도어위치변경)
22,HW개선(무드라이팅)
23,HW개선(문열림방향설정)
24,HW개선(문열림범위조절)
25,HW개선(바퀴/무빙휠)
26,HW개선(소재개선)
27,HW개선(외부)
28,HW개선(조명설치)
29,HW개선(카메라)
30,HW개선요청
31,HW디자인개선(UX개선)
32,HW디자인개선(내부)
33,HW디자인개선(내부색상)
34,HW디자인개선(버튼위치)
35,HW디자인개선(사이즈)
36,HW디자인개선(외부)
37,HW디자인개선(외부색상)
38,HW신제품
39,HW액세서리/소모품(구매편의성)
40,HW액세서리/소모품(기타)
41,HW액세서리/소모품(리모컨)
42,HW액세서리/소모품(보관용기)
43,HW액세서리/소모품(선반)
44,HW액세서리/소모품(전용키트)
45,HW액세서리/소모품(커버)
46,HW액세서리/소모품(필터)
47,HW케어(케어서비스)
48,KeepFresh
49,KeepFresh2.0
50,LCD배경테마바꾸기
51,LCD설정
52,LEDlightBrightness
53,LED색상변경
54,LongPress지원
55,MAC주소확인
56,NUGU
57,PC환경지원
58,Push알림문구수정
59,QR코드없음
60,QR코드인식못함
61,SIRI
62,SSID변경
63,TV연동
64,ThinQ서비스
65,ThinQ연결오류알림
66,UP가전센터
67,UP콘텐츠_AI건조+
68,UP콘텐츠_LCD배경테마바꾸기
69,UP콘텐츠_가전음성제어
70,UP콘텐츠_건조멍
71,UP콘텐츠_공간제습코스
72,UP콘텐츠_굿슬립모드
73,UP콘텐츠_김치다목적보관
74,UP콘텐츠_내부조명시간설정
75,UP콘텐츠_노크온패널컬러설정
76,UP콘텐츠_대기중시계표시
77,UP콘텐츠_대기중제품디스플레이밝기
78,UP콘텐츠_대기화면선택
79,UP콘텐츠_대기화면설정
80,UP콘텐츠_대기화면시간설정
81,UP콘텐츠_디스플레이밝기조절
82,UP콘텐츠_라이팅
83,UP콘텐츠_멜로디ONOFF시간설정
84,UP콘텐츠_멜로디볼륨조절
85,UP콘텐츠_무드라이팅컬러추가
86,UP콘텐츠_무드조명공기질알림
87,UP콘텐츠_버튼잠금설정
88,UP콘텐츠_볼륨조절
89,UP콘텐츠_셀프진단
90,UP콘텐츠_스마트가이드화면전환
91,UP콘텐츠_스마트케어
92,UP콘텐츠_스피드시간/세제량안내
93,UP콘텐츠_실시간지도
94,UP콘텐츠_알림멜로디설정
95,UP콘텐츠_알림음볼륨설정
96,UP콘텐츠_알아서절전온풍
97,UP콘텐츠_에너지모니터링
98,UP콘텐츠_온수기본값설정
99,UP콘텐츠_올클리닝
100,UP콘텐츠_운전중조용모드
101,UP콘텐츠_인공지능+
102,UP콘텐츠_자연청정
103,UP콘텐츠_저소음모드
104,UP콘텐츠_저소음바람세기조절
105,UP콘텐츠_정수기기본출수설정
106,UP콘텐츠_제품소리미세조절
107,UP콘텐츠_조용청정모드
108,UP콘텐츠_종료시간예약
109,UP콘텐츠_종료후세탁물케어
110,UP콘텐츠_주변밝기센서미세조절
111,UP콘텐츠_집중회전
112,UP콘텐츠_청소시작흡입력설정
113,UP콘텐츠_청정표시등컬러변경
114,UP콘텐츠_초미풍
115,UP콘텐츠_충전LED밝기조절
116,UP콘텐츠_충전알림멜로디설정
117,UP콘텐츠_펫케어운전모드
118,UP콘텐츠_펫케어코스
119,UP콘텐츠_플라스틱모드
120,UP콘텐츠_필터클린봇예약
121,UP콘텐츠_현재시간표시
122,UP콘텐츠_화면밝기미세조절
123,UVC_LED모드
124,UX/UI불편
125,Wi-Fi동작
126,Wi-Fi연결
127,Wi-Fi연결오류
128,WrinkleCare
129,delaystart
130,가독성개선
131,가방코스
132,가습기능
133,가습기모드
134,가습청정자동운전
135,가열중출수취소
136,가장자리청소
137,가정프로필
138,가죽코스
139,갤러리기능
140,건조불만
141,건조시간설정/변경
142,건조온/습도표시
143,건조온도설정/변경
144,건조온도표시
145,건조완료TV알림
146,건조종료10분전알림
147,건조종료알림
148,건조종료알림음볼륨조절
149,건조준비기능
150,건조코스
151,걸레/행주소독세척코스
152,걸레교체알림
153,계절별테마
154,고/저온알림
155,고객격려
